reconstruction_id,fragment_count,confidence,output_file
1,22,0.9872726757369614,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_001.bin
2,8,0.9634856686577071,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_002.bin
3,11,0.9952583333333334,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_003.bin
4,8,0.9900476190476191,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_004.bin
5,8,0.982952380952381,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_005.bin
6,18,0.9970126050420169,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_006.bin
7,13,0.9929340277777777,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_007.bin
8,14,0.9786378066378065,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_008.bin
9,22,0.9927074829931973,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_009.bin
10,20,0.9972744360902256,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_010.bin
11,33,0.9870091145833333,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_011.bin
12,18,0.9945392156862747,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_012.bin
13,8,0.9980714285714286,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_013.bin
14,8,0.990889455782313,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_014.bin
15,14,0.9900128205128205,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_015.bin
16,12,0.9916249999999999,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_016.bin
17,25,0.9890451388888888,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_017.bin
18,17,0.9936458333333333,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_018.bin
19,28,0.9891203703703704,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_019.bin
20,20,0.994920739348371,D:\Project-Files\Web Development Projects\ReFrag AI\refrag-ai\ml\reconstructed\reconstructed_020.bin
